date,ticker,open,close,volume
2018-01-01,GLD,100.2184,100.0672,1293961
2018-01-01,IWM,100.2744,98.8898,6374265
2018-01-01,QQQ,100.3199,97.4672,5800827
2018-01-01,SPY,99.8475,100.052,5441798
2018-01-01,TLT,99.8698,100.0249,4063788
2018-01-01,VNQ,99.853,98.6617,3298147
2018-01-02,GLD,99.8402,101.3968,8359755
2018-01-02,IWM,98.6225,99.285,6716133
2018-01-02,QQQ,96.9907,95.5775,4789512
2018-01-02,SPY,100.1974,100.4239,3619272
2018-01-02,TLT,100.1619,100.9834,2021404
2018-01-02,VNQ,98.3957,97.8067,4555370
2018-01-03,GLD,101.3914,102.6134,2793051
2018-01-03,IWM,99.192,96.9766,3571421
2018-01-03,QQQ,95.8695,93.69,1470687
2018-01-03,SPY,100.0881,100.1809,5218812
2018-01-03,TLT,100.7597,101.6781,6087603
2018-01-03,VNQ,97.9286,96.8901,7417847
2018-01-04,GLD,102.565,102.1563,3013604
2018-01-04,IWM,97.2171,97.9495,1252367
2018-01-04,QQQ,93.6243,93.2525,6714969
2018-01-04,SPY,100.7446,99.2812,6486349
2018-01-04,TLT,101.5623,102.3618,3324017
2018-01-04,VNQ,97.0035,97.259,1708350
2018-01-05,GLD,101.8153,101.9058,4843557
2018-01-05,IWM,97.5863,99.6336,8199217
2018-01-05,QQQ,93.1875,90.1059,5923400
2018-01-05,SPY,99.0873,98.8503,4211445
2018-01-05,TLT,102.3315,103.867,4469854
2018-01-05,VNQ,97.196,96.9976,2956277
2018-01-08,GLD,102.0386,101.4361,2034306
2018-01-08,IWM,99.3874,99.0301,1487129
2018-01-08,QQQ,89.4649,89.9066,7749487
2018-01-08,SPY,98.2677,97.8571,2156505
2018-01-08,TLT,103.6433,102.8018,7754267
2018-01-08,VNQ,97.1764,97.1953,2746451
2018-01-09,GLD,101.2644,102.021,1600073
2018-01-09,IWM,99.481,99.6981,6153058
2018-01-09,QQQ,90.4454,88.6719,1532809
2018-01-09,SPY,97.8242,97.9716,5889122
2018-01-09,TLT,102.5278,102.2683,4396201
2018-01-09,VNQ,97.1453,98.2769,6070889
2018-01-10,GLD,101.9733,102.0046,1258973
2018-01-10,IWM,99.4401,100.1101,8343200
2018-01-10,QQQ,89.4523,89.9362,6490908
2018-01-10,SPY,97.9351,99.4404,8470204
2018-01-10,TLT,101.915,101.1174,4441491
2018-01-10,VNQ,97.9021,99.3895,3094952
2018-01-11,GLD,101.6408,102.7653,4247040
2018-01-11,IWM,99.9921,99.5886,5060422
2018-01-11,QQQ,89.4003,91.306,5372359
2018-01-11,SPY,99.9517,98.9701,7143676
2018-01-11,TLT,100.9501,101.055,2072114
2018-01-11,VNQ,99.7199,100.0315,3222265
2018-01-12,GLD,103.0077,101.0249,3238473
2018-01-12,IWM,100.2432,98.4006,1554894
2018-01-12,QQQ,91.1459,93.3092,5912038
2018-01-12,SPY,98.8804,98.3672,2688004
2018-01-12,TLT,101.3565,101.9832,4897354
2018-01-12,VNQ,99.9259,99.5102,1418624
2018-01-15,GLD,101.2073,102.5702,5316027
2018-01-15,IWM,98.2795,95.5926,7804165
2018-01-15,QQQ,92.4968,94.4601,2319783
2018-01-15,SPY,98.3639,98.9376,7222054
2018-01-15,TLT,101.6059,101.998,4273963
2018-01-15,VNQ,99.3684,98.6133,4160161
2018-01-16,GLD,102.6664,102.5158,2860643
2018-01-16,IWM,95.6022,97.6149,2416555
2018-01-16,QQQ,94.4596,94.4466,4193192
2018-01-16,SPY,99.0949,99.3701,2972145
2018-01-16,TLT,102.1784,102.48,4792367
